title,author,length,releaseDate,language
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins,Releasedate:05-03-16,Language:English
Lovely One,Ketanji Brown Jackson,Length: 18 hrs and 26 mins,Releasedate:09-03-24,Language:English
Smokin' Hot,Abbi Glines,Length: 7 hrs and 42 mins,Releasedate:09-30-24,Language:English
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins,Releasedate:09-03-24,Language:English
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins,Releasedate:05-29-24,Language:English
Murder on the Nile,Verity Bright,Length: 8 hrs and 33 mins,Releasedate:09-26-24,Language:English
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins,Releasedate:03-09-21,Language:English
Void Drifter 3,"Jason Anspach,J.N. Chaney",Length: 11 hrs and 40 mins,Releasedate:12-10-24,Language:English
The Finish Line,Kate Stewart,Length: 14 hrs and 39 mins,Releasedate:08-03-21,Language:English
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins,Releasedate:05-14-21,Language:English
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins,Releasedate:10-18-22,Language:English
Dungeon Lord: Nightmare Kingdom,Hugo Huesca,Length: 29 hrs and 58 mins,Releasedate:08-29-24,Language:English
Beyond Anxiety,Martha Beck,Length: 11 hrs,Releasedate:01-07-25,Language:English
Loving the CEO,Layla Hagen,Length: 7 hrs and 12 mins,Releasedate:09-18-24,Language:English
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins,Releasedate:06-01-22,Language:English
Grid Zero,Robert J. Walker,Length: 7 hrs and 23 mins,Releasedate:10-02-24,Language:English
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins,Releasedate:07-23-24,Language:English
Reborn as a Dragon,Simo,Length: 7 hrs and 2 mins,Releasedate:09-30-24,Language:English
Pachinko,Min Jin Lee,Length: 17 hrs and 48 mins,Releasedate:10-01-24,Language:English
Are You Afraid of the Dark? The Official Podcast: Season 2,Nickelodeon Podcasts,Length: 2 hrs and 4 mins,Releasedate:10-03-24,Language:English
Hunting Adeline,H. D. Carlton,Length: 17 hrs and 24 mins,Releasedate:10-12-22,Language:English
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins,Releasedate:10-09-12,Language:English
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 71 hrs and 57 mins,Releasedate:02-27-17,Language:English
Practical Adept,Terry Mancour,Length: 30 hrs and 21 mins,Releasedate:09-24-24,Language:English
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins,Releasedate:11-20-15,Language:English
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins,Releasedate:11-28-18,Language:English
Welcome to Carnage,Selena Winters,Length: 2 hrs and 55 mins,Releasedate:09-05-24,Language:English
Truths,Vivek Ramaswamy,Length: 7 hrs and 18 mins,Releasedate:09-24-24,Language:English
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins,Releasedate:07-12-24,Language:English
Dune,Frank Herbert,Length: 21 hrs and 2 mins,Releasedate:12-31-06,Language:English
For We Are Many,Dennis E. Taylor,Length: 8 hrs and 59 mins,Releasedate:04-18-17,Language:English
The Stand,Stephen King,Length: 47 hrs and 47 mins,Releasedate:02-14-12,Language:English
Act Like a Man,Mark Driscoll,Length: 5 hrs and 30 mins,Releasedate:09-16-24,Language:English
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins,Releasedate:10-23-18,Language:English
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min,Releasedate:11-05-09,Language:English
Star Wars: Mace Windu: The Glass Abyss,Steven Barnes,Length: 11 hrs and 38 mins,Releasedate:10-15-24,Language:English
The Mist Thief,LJ Andrews,Length: 14 hrs and 6 mins,Releasedate:11-12-24,Language:English
The Boyfriend,Freida McFadden,Length: 9 hrs and 13 mins,Releasedate:10-01-24,Language:English
Zodiac Academy: The Awakening,"Caroline Peckham,Susanne Valenti",Length: 12 hrs and 10 mins,Releasedate:05-10-21,Language:English
You Like It Darker,Stephen King,Length: 20 hrs and 21 mins,Releasedate:05-21-24,Language:English
Two Can Play,Ali Hazelwood,Length: 4 hrs and 24 mins,Releasedate:10-01-24,Language:English
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins,Releasedate:09-06-22,Language:English
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins,Releasedate:07-12-11,Language:English
The Psychology of Money,Morgan Housel,Length: 5 hrs and 54 mins,Releasedate:09-08-20,Language:English
It,Stephen King,Length: 44 hrs and 55 mins,Releasedate:01-01-16,Language:English
The Lost Colony,Irina Shapiro,Length: 12 hrs and 10 mins,Releasedate:03-02-23,Language:English
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins,Releasedate:03-28-23,Language:English
Undeniably Infatuated,"J. Saman,Julie Saman",Length: 11 hrs and 28 mins,Releasedate:09-20-24,Language:English
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins,Releasedate:04-27-22,Language:English
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs,Releasedate:11-19-24,Language:English
The Perfect Couple,Elin Hilderbrand,Length: 12 hrs and 8 mins,Releasedate:06-19-18,Language:English
Twisted Cross Ranch: The Complete Series,"K. Loraine,Meg Anne",Length: 15 hrs and 39 mins,Releasedate:09-27-24,Language:English
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins,Releasedate:06-07-22,Language:English
The Ritual,Shantel Tessier,Length: 16 hrs and 12 mins,Releasedate:05-09-23,Language:English
Atomic Habits,James Clear,Length: 5 hrs and 35 mins,Releasedate:10-16-18,Language:English
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins,Releasedate:06-18-24,Language:English
His Path of Darkness,Ed James,Length: 12 hrs and 19 mins,Releasedate:09-30-24,Language:English
The Seventh Floor,David McCloskey,Length: 15 hrs and 8 mins,Releasedate:10-01-24,Language:English
Tale of the Heart Queen,Nisha J. Tuli,Length: 17 hrs and 13 mins,Releasedate:11-26-24,Language:English
Horus Rising,Dan Abnett,Length: 12 hrs and 14 mins,Releasedate:01-01-17,Language:English
The Night We Lost Him,Laura Dave,Length: 7 hrs and 42 mins,Releasedate:09-17-24,Language:English
The Women,Kristin Hannah,Length: 14 hrs and 57 mins,Releasedate:02-06-24,Language:English
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins,Releasedate:02-03-15,Language:English
Nexus (Spanish Edition),Yuval Noah Harari,Length: 17 hrs and 50 mins,Releasedate:09-10-24,Language:Spanish
From Blood and Ash,Jennifer L. Armentrout,Length: 19 hrs and 46 mins,Releasedate:09-08-20,Language:English
The Dragon's Prophecy,Jonathan Cahn,Length: 9 hrs and 39 mins,Releasedate:09-03-24,Language:English
Technically Speaking,Michael Elliot,Length: 1 hr and 50 mins,Releasedate:09-26-24,Language:English
Binding 13,"Chloe Walsh,Antona Simongiovanni - traducteur",Length: 22 hrs and 53 mins,Releasedate:09-12-24,Language:French
Under Your Scars,Ariel N. Anderson,Length: 19 hrs and 2 mins,Releasedate:07-09-24,Language:English
"Something Lost, Something Gained",Hillary Rodham Clinton,Length: 13 hrs and 25 mins,Releasedate:09-17-24,Language:English
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins,Releasedate:08-01-17,Language:English
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins,Releasedate:05-05-15,Language:English
This Is Why We Lied,Karin Slaughter,Length: 18 hrs and 6 mins,Releasedate:08-20-24,Language:English
Revenge of the Tipping Point,Malcolm Gladwell,Length: 8 hrs and 25 mins,Releasedate:10-01-24,Language:English
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins,Releasedate:07-05-22,Language:English
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins,Releasedate:09-12-23,Language:English
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins,Releasedate:12-15-11,Language:English
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins,Releasedate:03-26-24,Language:English
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins,Releasedate:09-16-21,Language:English
Sweet Little Spies,Lexi Blake,Length: 13 hrs and 54 mins,Releasedate:09-17-24,Language:English
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Length: 46 hrs and 32 mins,Releasedate:09-08-20,Language:English
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins,Releasedate:11-20-15,Language:English
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins,Releasedate:10-01-07,Language:English
Never Play It Safe,Chase Jarvis,Length: 7 hrs and 16 mins,Releasedate:10-08-24,Language:English
James,Percival Everett,Length: 7 hrs and 49 mins,Releasedate:03-19-24,Language:English
The Glitch,Leeanne Slade,Length: 11 hrs and 36 mins,Releasedate:08-15-24,Language:English
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Length: 8 hrs and 25 mins,Releasedate:04-18-24,Language:English
From the Wizarding Archive,"J.K. Rowling,Evanna Lynch - foreword",Length: 8 hrs and 3 mins,Releasedate:08-29-24,Language:English
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins,Releasedate:09-16-21,Language:English
Hábitos atómicos (Español neutro),James Clear,Length: 9 hrs and 1 min,Releasedate:09-30-20,Language:Spanish
The Silmarillion,J. R. R. Tolkien,Length: 14 hrs and 49 mins,Releasedate:10-29-15,Language:English
The Body Keeps the Score,Bessel van der Kolk M.D.,Length: 16 hrs and 15 mins,Releasedate:02-16-21,Language:English
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins,Releasedate:12-31-00,Language:English
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins,Releasedate:01-30-24,Language:English
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 23 mins,Releasedate:07-01-22,Language:English
Fourth Wing,Rebecca Yarros,Length: 21 hrs and 22 mins,Releasedate:05-02-23,Language:English
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs and 17 mins,Releasedate:08-06-24,Language:English
A Disturbance in the Church,David Wolf,Length: 41 mins,Releasedate:05-06-15,Language:English
Verity,Colleen Hoover,Length: 8 hrs and 10 mins,Releasedate:05-07-19,Language:English
Secrets of the Lost Ledgers,C.J. Archer,Length: 8 hrs and 17 mins,Releasedate:08-28-24,Language:English
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Length: 6 hrs and 11 mins,Releasedate:08-15-22,Language:English
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins,Releasedate:01-06-15,Language:English
"Your Soul Had a Dream, Your Life Is It",Rebecca Campbell,Length: 7 hrs and 45 mins,Releasedate:11-05-24,Language:English
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins,Releasedate:10-02-20,Language:English
Harry Potter and the Chamber of Secrets (Narrated by Stephen Fry),J.K. Rowling,Length: 9 hrs and 43 mins,Releasedate:04-18-24,Language:English
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 54 mins,Releasedate:04-18-24,Language:English
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins,Releasedate:05-04-21,Language:English
Vigilance: A LitRPG Adventure,C Peinhopf,Length: 13 hrs and 38 mins,Releasedate:09-30-24,Language:English
Property of a Rich Nigga 3: The Finale,Jessica N. Watkins,Length: 8 hrs and 17 mins,Releasedate:08-21-24,Language:English
The Briar Club,Kate Quinn,Length: 15 hrs and 3 mins,Releasedate:07-09-24,Language:English
Confronting the Presidents,"Bill O'Reilly,Martin Dugard",Length: 16 hrs and 26 mins,Releasedate:09-10-24,Language:English
Lost in the Swamp,Andy Andrews,Length: 42 mins,Releasedate:09-05-24,Language:English
The Wonder of Stevie,Wesley Morris,Length: 6 hrs and 10 mins,Releasedate:09-12-24,Language:English
True Believer,Jack Carr,Length: 15 hrs and 44 mins,Releasedate:07-30-19,Language:English
When He Dares,Suzanne Wright,Length: 11 hrs and 48 mins,Releasedate:08-27-24,Language:English
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins,Releasedate:11-08-22,Language:English
The Last Word on Power,Tracy Goss,Length: 10 hrs and 21 mins,Releasedate:09-27-24,Language:English
Bananapants,Penny Reid,Length: 15 hrs and 20 mins,Releasedate:09-23-24,Language:English
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins,Releasedate:08-02-16,Language:English
Exposing the Devil's Playbook,John Ramirez,Length: 5 hrs and 59 mins,Releasedate:10-01-24,Language:English
The King of Frost and Shadows,Jen L. Grey,Length: 10 hrs and 26 mins,Releasedate:09-17-24,Language:English
Blood over Bright Haven,M. L. Wang,Length: 15 hrs and 21 mins,Releasedate:10-29-24,Language:English
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins,Releasedate:11-03-20,Language:English
The Legend of Sleepy Hollow,Disney Books,Length: 11 mins,Releasedate:10-03-24,Language:English
In the Shadow of Kings,Philip C. Quaintrell,Length: 27 hrs and 12 mins,Releasedate:11-19-24,Language:English
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins,Releasedate:01-23-18,Language:English
The Art of Power,Nancy Pelosi,Length: 10 hrs and 45 mins,Releasedate:08-06-24,Language:English
Wrapped Up in His Ruggish Ways,Tay Mo'Nae,Length: 10 hrs and 21 mins,Releasedate:09-10-24,Language:English
"The Borrowed World Box Set, Volume Three: Books 7-9",Franklin Horton,Length: 27 hrs and 52 mins,Releasedate:08-22-24,Language:English
Rebirth of the Density God,ToraAKR,Length: 18 hrs and 44 mins,Releasedate:10-22-24,Language:English
Their Frozen Bones,D.K. Hood,Length: 7 hrs and 53 mins,Releasedate:10-01-24,Language:English
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins,Releasedate:10-18-22,Language:English
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs,Releasedate:08-14-23,Language:English
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins,Releasedate:08-07-19,Language:English
Unleashed,Boris Johnson,Length: 15 hrs and 46 mins,Releasedate:10-10-24,Language:English
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs and 47 mins,Releasedate:09-03-24,Language:English
Never Finished,David Goggins,Length: 11 hrs and 6 mins,Releasedate:12-06-22,Language:English
Bad to the Throne,Eric Ugland,Length: 13 hrs and 17 mins,Releasedate:08-20-24,Language:English
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins,Releasedate:06-03-24,Language:English
Monarch,Sophie Lark,Length: 9 hrs and 7 mins,Releasedate:09-25-24,Language:English
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins,Releasedate:01-28-21,Language:English
No te creas todo lo que piensas [Healing Anxiety and Overthinking],Joseph Nguyen,Length: 38 mins,Releasedate:10-03-24,Language:Spanish
Crossed Sticks,"Ryan Taylor,Joshua Harwood",Length: 8 hrs and 49 mins,Releasedate:09-26-24,Language:English
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins,Releasedate:05-03-22,Language:English
Undoing,Jourdyn Kelly,Length: 10 hrs and 17 mins,Releasedate:09-30-24,Language:English
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins,Releasedate:01-28-21,Language:English
Wild Eyes,Elsie Silver,Length: 10 hrs and 26 mins,Releasedate:09-03-24,Language:English
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins,Releasedate:12-13-22,Language:English
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min,Releasedate:05-18-21,Language:English
Devious Knight,"Faith Summers,Khardine Gray",Length: 11 hrs and 30 mins,Releasedate:10-01-24,Language:English
All These Worlds,Dennis E. Taylor,Length: 7 hrs and 56 mins,Releasedate:08-08-17,Language:English
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs and 38 mins,Releasedate:05-17-24,Language:English
Star Wars: Padawan's Pride,"Lucasfilm Press,Bryan Q. Miller",Length: 3 hrs and 57 mins,Releasedate:09-19-24,Language:English
Succubus Summoner: The Complete Omnibus,"Virgil Knightley,Annabelle Hawthorne",Length: 24 hrs and 49 mins,Releasedate:09-19-24,Language:English
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins,Releasedate:01-01-16,Language:English
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins,Releasedate:05-01-15,Language:English
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins,Releasedate:04-01-21,Language:English
He Who Fights with Monsters 3,"Shirtaloon,Travis Deverell",Length: 24 hrs and 39 mins,Releasedate:09-07-21,Language:English
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins,Releasedate:04-05-22,Language:English
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 33 mins,Releasedate:03-01-23,Language:English
The Empress of Beasts,pirateaba,Length: 28 hrs and 59 mins,Releasedate:09-10-24,Language:English
Galaxy in Flames,Ben Counter,Length: 8 hrs and 50 mins,Releasedate:10-10-17,Language:English
My Rules,T L Swan,Length: 12 hrs and 19 mins,Releasedate:09-17-24,Language:English
The Liar,Nora Roberts,Length: 16 hrs and 31 mins,Releasedate:04-14-15,Language:English
From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,Length: 7 hrs and 18 mins,Releasedate:09-30-24,Language:English
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins,Releasedate:03-03-11,Language:English
"The Ultimate Classics Collection – Volume One: 15 Novels from Dostoyevsky, Dickens, Tolstoy, Melville, Brontë, & More","Arthur Conan Doyle,Fyodor Dostoyevsky,Leo Tolstoy,Charles Dickens,Jack London,Anthony Trollope,Herman Melville,Anton Chekhov,Emily Brontë,George Eliot,Franz Kafka",Length: 204 hrs,Releasedate:01-01-25,Language:English
Rather: The Therapist,Grey Huffington,Length: 11 hrs and 35 mins,Releasedate:09-04-24,Language:English
Exodus: The Archimedes Engine,Peter F. Hamilton,Length: 30 hrs and 58 mins,Releasedate:09-17-24,Language:English
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins,Releasedate:10-24-23,Language:English
False Gods,Graham McNeill,Length: 11 hrs and 18 mins,Releasedate:01-01-17,Language:English
The Boyfriend Goal,Lauren Blakely,Length: 11 hrs and 51 mins,Releasedate:08-21-24,Language:English
Disney Frozen: Olaf's Quest,"Disney Press,Suzanne Francis",Length: 2 hrs and 22 mins,Releasedate:09-19-24,Language:English
Open Season,Jonathan Kellerman,Length: 11 hrs,Releasedate:02-04-25,Language:English
Born of Blood and Ash,Jennifer L. Armentrout,Length: 37 hrs and 1 min,Releasedate:08-13-24,Language:English
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins,Releasedate:11-11-14,Language:English
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins,Releasedate:11-07-23,Language:English
Lunar Interlude: A Dystopian Sci-Fi Adventure,Plum Parrot,Length: 18 hrs and 15 mins,Releasedate:12-03-24,Language:English
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min,Releasedate:03-01-22,Language:English
Credence,Penelope Douglas,Length: 16 hrs and 55 mins,Releasedate:11-04-20,Language:English
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 11 hrs and 51 mins,Releasedate:09-26-24,Language:English
The Butcher Game,Alaina Urquhart,Length: 9 hrs and 55 mins,Releasedate:09-17-24,Language:English
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min,Releasedate:10-13-15,Language:English
"Reincarnated as a Sword (Light Novel), Vol. 2",Yuu Tanaka,Length: 10 hrs and 4 mins,Releasedate:09-18-24,Language:English
The Wretched of the Earth,Frantz Fanon,Length: 9 hrs and 20 mins,Releasedate:09-23-24,Language:English
The Girl Who Was Taken,Charlie Donlea,Length: 10 hrs and 49 mins,Releasedate:04-25-17,Language:English
"Ser justo en un mundo injusto (Las 4 virtudes estoicas 3) [Right Thing, Right Now]","Ryan Holiday,Ignacio Gómez Calvo - translator",Length: 9 hrs and 9 mins,Releasedate:10-17-24,Language:Spanish
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins,Releasedate:10-09-12,Language:English
Baskets and Beignets,Jana DeLeon,Length: 9 hrs and 39 mins,Releasedate:07-23-24,Language:English
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins,Releasedate:01-28-14,Language:English
Suburban Warlock 3,Noah Layton,Length: 6 hrs and 55 mins,Releasedate:09-27-24,Language:English
Here One Moment,Liane Moriarty,Length: 15 hrs and 53 mins,Releasedate:09-10-24,Language:English
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins,Releasedate:02-09-24,Language:English
What in the World?!,Leanne Morgan,Length: 6 hrs and 7 mins,Releasedate:09-24-24,Language:English
"Mushoku Tensei: Jobless Reincarnation (Light Novel), Vol. 25",Rifujin na Magonote,Length: 6 hrs and 38 mins,Releasedate:09-19-24,Language:English
We Solve Murders,Richard Osman,Length: 10 hrs and 32 mins,Releasedate:09-17-24,Language:English
The Silent Patient,Alex Michaelides,Length: 8 hrs and 33 mins,Releasedate:02-05-19,Language:English
Know the Score,Kylie Kent,Length: 7 hrs and 23 mins,Releasedate:09-26-24,Language:English
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins,Releasedate:01-12-24,Language:English
Unfiltered,Guenther Steiner,Length: 7 hrs and 57 mins,Releasedate:10-10-24,Language:English
The Salted Sceptre,Helen Harper,Length: 7 hrs and 25 mins,Releasedate:09-30-24,Language:English
Sparktopia,JA Huss,Length: 18 hrs and 47 mins,Releasedate:09-19-24,Language:English
The Five Year Lie,Sarina Bowen,Length: 12 hrs and 41 mins,Releasedate:05-07-24,Language:English
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins,Releasedate:12-28-03,Language:English
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins,Releasedate:02-20-23,Language:English
"The America Falls Omnibus, Books 1-11",Scott Medbury,Length: 59 hrs and 35 mins,Releasedate:08-23-24,Language:English
Forbidden Desires: The Complete Series,Kendall Ryan,Length: 22 hrs and 25 mins,Releasedate:11-19-18,Language:English
Complete Innocence Boxset,"Stasia Black,Lee Savino",Length: 27 hrs and 40 mins,Releasedate:01-28-20,Language:English
Look on the Bright Side,Kristan Higgins,Length: 12 hrs and 34 mins,Releasedate:05-28-24,Language:English
Heaven's River,Dennis E. Taylor,Length: 16 hrs and 57 mins,Releasedate:09-24-20,Language:English
Fire & Blood (HBO Tie-in Edition),George R. R. Martin,Length: 26 hrs and 24 mins,Releasedate:11-20-18,Language:English
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins,Releasedate:05-12-15,Language:English
I'm Starting to Worry About This Black Box of Doom,Jason Pargin,Length: 12 hrs and 44 mins,Releasedate:09-24-24,Language:English
"Chrysalis, Books 1-3",RinoZ,Length: 54 hrs and 41 mins,Releasedate:02-14-24,Language:English
Part of Your World,Abby Jimenez,Length: 10 hrs and 5 mins,Releasedate:04-19-22,Language:English
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins,Releasedate:04-18-17,Language:English
Defiance of the Fall 2,"TheFirstDefier,JF Brink",Length: 24 hrs and 30 mins,Releasedate:08-10-21,Language:English
The Midnight Feast,Lucy Foley,Length: 10 hrs and 20 mins,Releasedate:06-18-24,Language:English
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins,Releasedate:04-18-23,Language:English
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins,Releasedate:09-16-21,Language:English
Pretty Girls,Karin Slaughter,Length: 20 hrs,Releasedate:09-29-15,Language:English
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins,Releasedate:12-28-21,Language:English
The Love in Duet Collection,Lauren Blakely,Length: 32 hrs and 45 mins,Releasedate:07-16-24,Language:English
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins,Releasedate:07-01-05,Language:English
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins,Releasedate:02-09-16,Language:English
Black Market,M. G. Driver,Length: 16 hrs and 42 mins,Releasedate:09-12-24,Language:English
Flirting with Monsters,Eva Chase,Length: 33 hrs and 7 mins,Releasedate:02-26-22,Language:English
Counting Miracles,Nicholas Sparks,Length: 10 hrs and 45 mins,Releasedate:09-24-24,Language:English
The Book of Life,Deborah Harkness,Length: 23 hrs and 53 mins,Releasedate:07-15-14,Language:English
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins,Releasedate:06-25-24,Language:English
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins,Releasedate:10-26-06,Language:English
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins,Releasedate:11-06-17,Language:English
Sphere,Michael Crichton,Length: 13 hrs,Releasedate:11-24-15,Language:English
11-22-63,Stephen King,Length: 30 hrs and 40 mins,Releasedate:11-08-11,Language:English
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins,Releasedate:10-10-23,Language:English
Hard Duty,J. B. Turner,Length: 7 hrs and 35 mins,Releasedate:10-03-24,Language:English
Freed,E. L. James,Length: 27 hrs and 15 mins,Releasedate:06-01-21,Language:English
The Eclipse of God,Erwin W. Lutzer,Length: 9 hrs and 29 mins,Releasedate:10-01-24,Language:English
The Games of Enemies and Allies,K. M. Shea,Length: 11 hrs and 18 mins,Releasedate:09-16-24,Language:English
The Long Paw of the Law 3,Laurie Anne Marie,Length: 4 hrs and 35 mins,Releasedate:09-30-24,Language:English
Pretty Girls,Karin Slaughter,Length: 20 hrs,Releasedate:09-29-15,Language:English
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins,Releasedate:12-28-21,Language:English
The Love in Duet Collection,Lauren Blakely,Length: 32 hrs and 45 mins,Releasedate:07-16-24,Language:English
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins,Releasedate:07-01-05,Language:English
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins,Releasedate:02-09-16,Language:English
Black Market,M. G. Driver,Length: 16 hrs and 42 mins,Releasedate:09-12-24,Language:English
Flirting with Monsters,Eva Chase,Length: 33 hrs and 7 mins,Releasedate:02-26-22,Language:English
Counting Miracles,Nicholas Sparks,Length: 10 hrs and 45 mins,Releasedate:09-24-24,Language:English
The Book of Life,Deborah Harkness,Length: 23 hrs and 53 mins,Releasedate:07-15-14,Language:English
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins,Releasedate:06-25-24,Language:English
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins,Releasedate:10-26-06,Language:English
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins,Releasedate:11-06-17,Language:English
